Country Name,WB Code,Region,Income Group,Probability of Survival to Age 5,Expected Years of School,Harmonized Test Scores,Learning-Adjusted Years of School,Fraction of Children Under 5 Not Stunted,Adult Survival Rate,HUMAN CAPITAL INDEX 2020 (LOWER BOUND),HUMAN CAPITAL INDEX 2020,HUMAN CAPITAL INDEX 2020 (UPPER BOUND)
Afghanistan,AFG,South Asia,Low income,0.9377235770225525,8.901890754699707,354.7587890625,5.052838325500488,0.6180722117424011,0.7877408266067505,0.3871486186981201,0.40028414130210876,0.4126172661781311
Albania,ALB,Europe & Central Asia,Upper middle income,0.9911766648292542,12.889381408691406,434.1275939941406,8.953018188476562,0.8867664933204651,0.9293659925460815,0.6247255206108093,0.6342509388923645,0.6434780359268188
Algeria,DZA,Middle East & North Africa,Lower middle income,0.976517915725708,11.848034858703613,374.0890808105469,7.091552734375,0.8831039667129517,0.9092822670936584,0.5273110270500183,0.5345564484596252,0.5415102243423462
Angola,AGO,Sub-Saharan Africa,Lower middle income,0.9228354692459106,8.120065689086914,325.9654846191406,4.234977722167969,0.6242885589599609,0.7293587327003479,0.32986369729042053,0.362405389547348,0.385374516248703
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,0.9935585260391235,12.967559814453125,406.9974365234375,8.444421768188477,-,0.8972075581550598,0.5840800404548645,0.5957038998603821,0.6074146032333374
Argentina,ARG,Latin America & Caribbean,Upper middle income,0.9900550246238708,12.879523277282715,408.1726379394531,8.411310195922852,0.9210000038146973,0.8882691860198975,0.5916669368743896,0.602144718170166,0.6117156147956848
Armenia,ARM,Europe & Central Asia,Upper middle income,0.9876193404197693,11.27987003326416,442.9694519042969,7.9946208000183105,0.9060105085372925,0.885818600654602,0.5692161917686462,0.5789988040924072,0.5885320901870728
Australia,AUS,East Asia & Pacific,High income,0.996311366558075,13.60144329071045,515.6853637695312,11.222504615783691,-,0.94614177942276,0.7619490027427673,0.770239531993866,0.7779680490493774
Austria,AUT,Europe & Central Asia,High income,0.9964772462844849,13.42759895324707,507.6393737792969,10.906205177307129,-,0.9371843934059143,0.7371965646743774,0.7467397451400757,0.7565202116966248
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,0.9784765839576721,12.44378662109375,415.9461975097656,8.281513214111328,0.8222754001617432,0.8819581270217896,0.561639130115509,0.577767550945282,0.5911514163017273
Bahrain,BHR,Middle East & North Africa,High income,0.9929053783416748,12.849672317504883,451.70599365234375,9.28683853149414,-,0.9344145655632019,0.6445410847663879,0.6524720191955566,0.6598454713821411
Bangladesh,BGD,South Asia,Lower middle income,0.9698429703712463,10.163542747497559,368.3152770996094,5.9894208908081055,0.6920000314712524,0.8685122728347778,0.4552689790725708,0.4640364348888397,0.47212889790534973
Belarus,BLR,Europe & Central Asia,Upper middle income,0.9965793490409851,13.807777404785156,488.1430969238281,10.784273147583008,-,0.853127121925354,0.6902708411216736,0.7000781893730164,0.7096639275550842
Belgium,BEL,Europe & Central Asia,High income,0.9963484406471252,13.524476051330566,516.807861328125,11.18328857421875,-,0.9312352538108826,0.7519775629043579,0.7604196667671204,0.7688379287719727
Benin,BEN,Sub-Saharan Africa,Lower middle income,0.9070135354995728,9.224535942077637,383.9228515625,5.666416645050049,-,0.7682603597640991,0.37856191396713257,0.40029072761535645,0.42173755168914795
Bhutan,BTN,South Asia,Lower middle income,0.9703007340431213,10.224569320678711,386.7394104003906,6.3267903327941895,0.7879999876022339,0.8068366050720215,0.4503200054168701,0.4752970337867737,0.49921533465385437
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,0.9941948056221008,11.717803001403809,416.1340637207031,7.801883220672607,0.9111343622207642,0.9136298894882202,0.5708836317062378,0.5796840786933899,0.5882684588432312
Botswana,BWA,Sub-Saharan Africa,Upper middle income,0.9635339975357056,8.118463516235352,391.31829833984375,5.083045482635498,-,0.7988409996032715,0.38891610503196716,0.41402849555015564,0.43098387122154236
Brazil,BRA,Latin America & Caribbean,Upper middle income,0.9856491684913635,11.907047271728516,413.2447509765625,7.872839450836182,-,0.8613823652267456,0.5463635325431824,0.5514979362487793,0.5563690662384033
Brunei Darussalam,BRN,East Asia & Pacific,High income,0.9884477257728577,13.169410705566406,437.51593017578125,9.218923568725586,0.8029999732971191,0.8789383172988892,0.6188470721244812,0.6263913512229919,0.6337846517562866
Bulgaria,BGR,Europe & Central Asia,Upper middle income,0.9929444193840027,12.309340476989746,441.09332275390625,8.687309265136719,0.9300000071525574,0.8661385178565979,0.6032535433769226,0.6138981580734253,0.6248763799667358
Burkina Faso,BFA,Sub-Saharan Africa,Low income,0.9235833883285522,7.018786430358887,403.6543273925781,4.533061504364014,0.7509958744049072,0.7613705396652222,0.36323073506355286,0.3836919367313385,0.4016943871974945
Burundi,BDI,Sub-Saharan Africa,Low income,0.9415431618690491,7.6355719566345215,422.747802734375,5.164674282073975,0.4580000042915344,0.7229411005973816,0.3643782138824463,0.3861706256866455,0.4058842360973358
Cambodia,KHM,East Asia & Pacific,Lower middle income,0.9720046520233154,9.465780258178711,451.88958740234375,6.843980312347412,0.6755092144012451,0.8377218842506409,0.47126007080078125,0.49158987402915955,0.5069871544837952
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,0.9239400029182434,8.721478462219238,378.86883544921875,5.286874294281006,0.7109999656677246,0.7042362689971924,0.37664785981178284,0.39740151166915894,0.41758689284324646
Canada,CAN,North America,High income,0.9950266480445862,13.722015380859375,533.9979858398438,11.724045753479004,-,0.9399721622467041,0.7895455956459045,0.797520101070404,0.8055559992790222
Central African Republic,CAF,Sub-Saharan Africa,Low income,0.8835216164588928,4.569999694824219,368.73016357421875,2.696154832839966,0.5920000076293945,0.5913954377174377,0.25583741068840027,0.29163190722465515,0.32074791193008423
Chad,TCD,Sub-Saharan Africa,Low income,0.8810218572616577,5.310591697692871,333.111328125,2.8304290771484375,0.6023423075675964,0.6461252570152283,0.2816317081451416,0.29978278279304504,0.3171570301055908
Chile,CHL,Latin America & Caribbean,High income,0.9928076863288879,13.00178337097168,452.2182312011719,9.407429695129395,-,0.9177480936050415,0.6410711407661438,0.651604175567627,0.6617168188095093
China,CHN,East Asia & Pacific,Upper middle income,0.9913992285728455,13.13779354095459,441.0,9.270027160644531,0.9190000295639038,0.923591136932373,0.6399794220924377,0.6531026363372803,0.6652412414550781
Colombia,COL,Latin America & Caribbean,Upper middle income,0.985790491104126,12.860374450683594,419.02752685546875,8.622161865234375,0.8725557923316956,0.8866510987281799,0.5917106866836548,0.60433030128479,0.6163741946220398
Comoros,COM,Sub-Saharan Africa,Lower middle income,0.932531476020813,8.17353343963623,392.22552490234375,5.129389762878418,0.6886875629425049,0.7819996476173401,0.3601017892360687,0.40468829870224,0.4340665638446808
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,0.9118964672088623,9.131845474243164,310.1971435546875,4.532275676727295,0.5730823278427124,0.7535561919212341,0.34386399388313293,0.3663692772388458,0.38498979806900024
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,0.9498883485794067,8.912769317626953,370.61407470703125,5.285116672515869,0.7881277799606323,0.7429219484329224,0.39294520020484924,0.4192657172679901,0.44048741459846497
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,0.9912109375,13.115726470947266,428.5556945800781,8.993310928344727,-,0.9159905910491943,0.6188911199569702,0.628635048866272,0.6383744478225708
Croatia,HRV,Europe & Central Asia,High income,0.9953329563140869,13.390284538269043,487.58123779296875,10.446162223815918,-,0.917376697063446,0.7003625631332397,0.709693968296051,0.7188518047332764
Cyprus,CYP,Europe & Central Asia,High income,0.9976169466972351,13.587605476379395,502.16217041015625,10.91709041595459,-,0.9520066380500793,0.7459179162979126,0.755520224571228,0.7644456028938293
Czech Republic,CZE,Europe & Central Asia,High income,0.9966269731521606,13.564104080200195,512.2216186523438,11.116523742675781,-,0.922457218170166,0.7428697347640991,0.7522574067115784,0.7615647315979004
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,0.9191221594810486,8.057337760925293,373.23052978515625,4.811591148376465,0.7837072014808655,0.6600455045700073,0.36150065064430237,0.3798893392086029,0.39757660031318665
Denmark,DNK,Europe & Central Asia,High income,0.9957765340805054,13.39460277557373,517.8778076171875,11.098828315734863,-,0.9317006468772888,0.7476469278335571,0.7550948262214661,0.7622250318527222
Dominica,DMA,Latin America & Caribbean,Upper middle income,0.9643142819404602,12.396614074707031,403.7832336425781,8.008872032165527,-,0.8593729734420776,0.5290657877922058,0.5447493195533752,0.5589038729667664
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,0.971153199672699,11.87394905090332,345.2165222167969,6.558533191680908,0.9287617206573486,0.8447074890136719,0.4887038469314575,0.5027669072151184,0.5151029229164124
Ecuador,ECU,Latin America & Caribbean,Upper middle income,0.9857698082923889,12.936629295349121,420.1485595703125,8.696490287780762,0.7606320977210999,0.8764479160308838,0.585349440574646,0.5942548513412476,0.6030656099319458
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,0.9787746667861938,11.4635009765625,355.98651123046875,6.529362678527832,0.7773113250732422,0.8567936420440674,0.4802601933479309,0.49437466263771057,0.5076782703399658
El Salvador,SLV,Latin America & Caribbean,Lower middle income,0.9863465428352356,10.949888229370117,435.9227600097656,7.637288570404053,0.8635157346725464,0.8211334347724915,0.530962347984314,0.5461766123771667,0.5597056150436401
Estonia,EST,Europe & Central Asia,High income,0.997352659702301,13.483963966369629,543.2060546875,11.71931266784668,-,0.8974454402923584,0.7654546499252319,0.7772032022476196,0.7887171506881714
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,0.9456348419189453,6.423721790313721,440.30450439453125,4.525429725646973,0.7445052862167358,0.603710412979126,0.35248517990112305,0.37250080704689026,0.389619916677475
Ethiopia,ETH,Sub-Saharan Africa,Low income,0.9447553753852844,7.806440830230713,348.19903564453125,4.349112510681152,0.6319999694824219,0.7929816842079163,0.3721332550048828,0.3827848434448242,0.3922038972377777
Fiji,FJI,East Asia & Pacific,Upper middle income,0.9743790626525879,11.333295822143555,383.3359680175781,6.951136112213135,0.9089999794960022,0.7839993238449097,0.49649858474731445,0.5085732936859131,0.5206108689308167
Finland,FIN,Europe & Central Asia,High income,0.9983046054840088,13.746703147888184,533.7076416015625,11.738752365112305,-,0.930211067199707,0.7870250344276428,0.7960010170936584,0.80467289686203
France,FRA,Europe & Central Asia,High income,0.995955765247345,13.802658081054688,510.2605895996094,11.268723487854004,-,0.926030695438385,0.7544858455657959,0.7627372145652771,0.7714400887489319
Gabon,GAB,Sub-Saharan Africa,Upper middle income,0.955239474773407,8.255537986755371,456.127685546875,6.024927139282227,0.8296557068824768,0.7904538512229919,0.43346282839775085,0.45761245489120483,0.47837093472480774
"Gambia, The",GMB,Sub-Saharan Africa,Low income,0.9416350722312927,9.520092964172363,352.8996276855469,5.375419616699219,0.8103278875350952,0.7525278329849243,0.39422816038131714,0.42157062888145447,0.4418037235736847
Georgia,GEO,Europe & Central Asia,Upper middle income,0.9901862144470215,12.9356689453125,399.76629638671875,8.273991584777832,-,0.8528455495834351,0.5617147088050842,0.5689257979393005,0.5758548378944397
Germany,DEU,Europe & Central Asia,High income,0.9963395595550537,13.330617904663086,517.2814331054688,11.033089637756348,-,0.9308924674987793,0.7401057481765747,0.7511624693870544,0.7622750401496887
Ghana,GHA,Sub-Saharan Africa,Lower middle income,0.9520917534828186,12.120074272155762,307.2757873535156,5.958728313446045,0.824999988079071,0.7682544589042664,0.4375222325325012,0.45005640387535095,0.4617566466331482
Greece,GRC,Europe & Central Asia,High income,0.9955499172210693,13.28889274597168,468.63623046875,9.964250564575195,-,0.9330050945281982,0.6803865432739258,0.6900064945220947,0.7001301646232605
Grenada,GRD,Latin America & Caribbean,Upper middle income,0.9847789406776428,13.099438667297363,394.7491455078125,8.273588180541992,-,0.850867509841919,0.5533478260040283,0.5650705099105835,0.5766236782073975
Guatemala,GTM,Latin America & Caribbean,Upper middle income,0.9738149642944336,9.712480545043945,405.257568359375,6.297689914703369,0.5328638553619385,0.8466562628746033,0.4512813091278076,0.4612700939178467,0.4703766405582428
Guinea,GIN,Sub-Saharan Africa,Low income,0.899221658706665,6.993616580963135,408.24908447265625,4.568220138549805,0.6966943144798279,0.759966254234314,0.35245874524116516,0.37094247341156006,0.38669076561927795
Guyana,GUY,Latin America & Caribbean,Upper middle income,0.9698553085327148,12.203946113586426,346.36590576171875,6.763249397277832,0.8872910737991333,0.7743628025054932,0.4773651361465454,0.4952264726161957,0.5096753239631653
Haiti,HTI,Latin America & Caribbean,Low income,0.935236394405365,11.378000259399414,337.8153076171875,6.149860382080078,0.7805390357971191,0.7758921384811401,0.42822667956352234,0.4465649127960205,0.46255362033843994
Honduras,HND,Latin America & Caribbean,Lower middle income,0.982401430606842,9.590043067932129,399.75079345703125,6.133803844451904,0.7737758159637451,0.8604116439819336,0.46915796399116516,0.4810231328010559,0.49126332998275757
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,0.9913992285728455,13.541403770446777,548.6314086914062,11.8867826461792,-,0.9546135067939758,0.8024086952209473,0.8127565383911133,0.8226003646850586
Hungary,HUN,Europe & Central Asia,High income,0.995729386806488,12.956555366516113,495.4812316894531,10.271568298339844,-,0.8796287775039673,0.6745256185531616,0.6830872893333435,0.6915274858474731
Iceland,ISL,Europe & Central Asia,High income,0.9980381727218628,13.460270881652832,497.6827697753906,10.718311309814453,-,0.95481938123703,0.7390626072883606,0.7452818751335144,0.7514722347259521
India,IND,South Asia,Lower middle income,0.9634257555007935,11.124953269958496,399.0,7.102170467376709,0.652999997138977,0.825507640838623,0.4892657995223999,0.493510901927948,0.4977993667125702
Indonesia,IDN,East Asia & Pacific,Upper middle income,0.9750161170959473,12.388372421264648,394.91510009765625,7.827768325805664,0.7232999801635742,0.8497079610824585,0.5300182104110718,0.5400384664535522,0.549938440322876
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,0.9855986833572388,11.849552154541016,432.10821533203125,8.192461967468262,-,0.9344824552536011,0.5813397169113159,0.5934044718742371,0.6037614941596985
Iraq,IRQ,Middle East & North Africa,Upper middle income,0.9732875227928162,6.931927680969238,363.4324951171875,4.030860424041748,0.8735702037811279,0.844261884689331,0.40058308839797974,0.40764328837394714,0.4138141870498657
Ireland,IRL,Europe & Central Asia,High income,0.9963429570198059,13.90053939819336,521.3285522460938,11.594797134399414,-,0.9443046450614929,0.7835327386856079,0.7925990223884583,0.8010845184326172
Israel,ISR,Middle East & North Africa,High income,0.9962676167488098,13.762948036193848,480.752197265625,10.586508750915527,-,0.9503155946731567,0.722771167755127,0.7339953184127808,0.744976282119751
Italy,ITA,Europe & Central Asia,High income,0.9969688653945923,13.250680923461914,492.9878234863281,10.451878547668457,-,0.9527933597564697,0.719787061214447,0.7278196811676025,0.7354813814163208
Jamaica,JAM,Latin America & Caribbean,Upper middle income,0.9855833053588867,11.39463996887207,387.13299560546875,7.057985782623291,0.9400208592414856,0.8613766431808472,0.5179914236068726,0.534977912902832,0.547929584980011
Japan,JPN,East Asia & Pacific,High income,0.9975103139877319,13.639851570129395,537.7234497070312,11.735149383544922,-,0.9485490918159485,0.7967959046363831,0.8047142624855042,0.81325364112854
Jordan,JOR,Middle East & North Africa,Upper middle income,0.9838480353355408,11.143815040588379,429.9540710449219,7.666126251220703,-,0.8941662311553955,0.5412096381187439,0.5531743764877319,0.5639644861221313
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,0.9900889992713928,13.708000183105469,416.1546325683594,9.127436637878418,0.9196416735649109,0.8446402549743652,0.6219398379325867,0.6285064220428467,0.634843647480011
Kenya,KEN,Sub-Saharan Africa,Lower middle income,0.958882212638855,11.634634017944336,454.9584045410156,8.469239234924316,0.7380917072296143,0.7736021280288696,0.5270301699638367,0.5467525124549866,0.5646011233329773
Kiribati,KIR,East Asia & Pacific,Lower middle income,0.947486937046051,11.21236801147461,411.4844970703125,7.3819451332092285,-,0.808998703956604,0.4625399112701416,0.4925929307937622,0.516819953918457
"Korea, Rep.",KOR,East Asia & Pacific,High income,0.9968082308769226,13.593419075012207,537.209716796875,11.684027671813965,-,0.9445470571517944,0.7883390784263611,0.7987762689590454,0.8092198371887207
Kosovo,XKX,Europe & Central Asia,Upper middle income,0.9850000143051147,13.168999671936035,373.54876708984375,7.870821475982666,-,0.906000018119812,0.560718834400177,0.5673317313194275,0.5733616352081299
Kuwait,KWT,Middle East & North Africa,High income,0.9921473860740662,12.033761978149414,383.4022216796875,7.382033824920654,-,0.941962718963623,0.5529653429985046,0.5625880360603333,0.5721922516822815
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,0.9810588359832764,12.87249755859375,420.0865173339844,8.652100563049316,0.8824657797813416,0.8494346141815186,0.5872112512588501,0.5966171026229858,0.6053768992424011
Lao PDR,LAO,East Asia & Pacific,Lower middle income,0.952666699886322,10.614652633666992,368.14208984375,6.252320766448975,0.669367790222168,0.8217880129814148,0.44141775369644165,0.4566653370857239,0.47038137912750244
Latvia,LVA,Europe & Central Asia,High income,0.996137797832489,13.61810302734375,503.8697814941406,10.978800773620605,-,0.8441311717033386,0.6941569447517395,0.7065814137458801,0.7191427946090698
Lebanon,LBN,Middle East & North Africa,Upper middle income,0.9925622940063477,10.155516624450684,389.8890380859375,6.335239410400391,-,0.9345919489860535,0.5049667954444885,0.5151255130767822,0.5239424705505371
